#,company,country,email,website,priority_tier
1,Authentic Asia,Vietnam,sales@authentic-asia.com,https://authentic-asia.com,A
2,DH Travel (Du Lich Quoc Te DH),Vietnam,director@dhtravel.com.vn,https://dhtravel.com.vn,A
3,Fiditour JSC,Vietnam,info@fiditour.com,https://fiditour.com,A
4,HaloBay Travel,Vietnam,info@halobay.vn,https://www.halobay.vn,A
5,Le Phong Travel,Vietnam,info@lephongtravel.com.vn,https://lephongtravel.com.vn,A
6,Mai Tours,Vietnam,info@maitours.vn,https://maitours.vn,A
7,Premier Tour Vietnam,Vietnam,info@premiertour.com.vn,https://premiertour.com.vn,A
8,Saigontourist Travel,Vietnam,info@saigontourist.net,https://saigontourist.net,A
9,VGC Travel,Vietnam,info@vgctravel.com.vn,https://vgctravel.com.vn,A
10,Vietrantour,Vietnam,booking@vietrantour.com.vn,https://vietrantour.com.vn,A
11,Exodus Adventure Travels,United Kingdom,privatedepartures@exodus.co.uk,https://www.exodus.co.uk,A
12,Go Russia Ltd,United Kingdom,info@justgorussia.co.uk,https://www.justgorussia.co.uk,A
13,HF Holidays,United Kingdom,groups@hfholidays.co.uk,https://www.hfholidays.co.uk,A
14,Jules Verne (VJV),United Kingdom,agents@vjv.com,https://www.vjv.com,A
15,Regent Holidays,United Kingdom,regent@regentholidays.co.uk,https://www.regent-holidays.co.uk,A
16,Steppes Travel,United Kingdom,info@steppestravel.com,https://www.steppestravel.com,A
17,Wendy Wu Tours UK,United Kingdom,info@wendywutours.co.uk,https://www.wendywutours.co.uk,A
18,Wild Frontiers Travel,United Kingdom,info@wildfrontierstravel.com,https://www.wildfrontierstravel.com,A
19,Adventure International Tours (AITI),Philippines,reservations@tdgtravel.ph,https://adventuretravel.ph,A
20,Blue Horizons Travel & Tours Inc.,Philippines,info@bluehorizons.travel,https://bluehorizons.travel,A
21,FCM Travel Philippines,Philippines,sales@ph.fcm.travel,https://www.fcmtravel.com,A
22,Pan Pacific Travel,Philippines,info@panpacifictravel.com.ph,https://www.panpacifictravel.com.ph,A
23,Premiere Travel and Tours Inc.,Philippines,anicar@premieretravel.ph,https://www.premieretravel.ph,A
24,Travelite Express,Philippines,info@travelite.com.ph,https://www.travelite.com.ph,A
25,CIS Tour (Korea),South Korea,info@cis-tour.com,http://cis-tour.com,A
26,Small Star Tour (Jageunbyeol),South Korea,smallstar@smallstartour.com,https://smallstartour.com,A
27,Very Good Tour (Korea),South Korea,info@verygoodtour.com,https://www.verygoodtour.com,A
28,Go Jordan Travel and Tourism,Jordan,info@gojordantours.com,https://www.gojordantours.com,A
29,Jordan Tours & Travel,Jordan,sales@jordantour-travel.com,https://www.jordantours-travel.com,A
30,Petra Travel & Tourism (Jordan),Jordan,info@petratravel.com,https://www.petratravel.com,A
31,Petra Travel and Tourism Co.,Jordan,awni.kawar@petratours.com,https://www.petratours.com,A
32,Asia Exotic Expeditions,Singapore,tours@asiaexotic.com,https://www.asiaexotic.com,B
33,Cheria Holiday (PT Cheria),Indonesia,info@cheria-travel.com,https://www.cheria-travel.com,B
34,DeWonder Travel,Hong Kong,info@dewonder.travel,https://dewonder.travel,B
35,EGL Tours,Hong Kong,egltours@egltours.com,https://www.egltours.com,B
36,EU Holidays,Singapore,enquiry@euholidays.com.sg,https://www.euholidays.com.sg,B
37,Five Star Club (Japan),Japan,info@fivestar-club.co.jp,https://www.fivestar-club.jp,B
38,Hayatun Tour,Indonesia,info@hayatuntour.com,https://www.hayatuntour.com,B
39,Indus Travel Co.,Japan,industokyo@indus-travel.com,https://www.indus-travel.com,B
40,KOP Travel,Malaysia,info@koptravel.com.my,https://www.koptravel.com.my,B
41,MNG Turizm,Turkey,info@mngturizm.com,https://www.mngturizm.com,B
42,Nam Ho Travel,Singapore,info@namho.com.sg,https://www.namho.com.sg,B
43,SOTC Travel,India,groups@sotc.in,https://www.sotc.in,B
44,TripsTide Pvt Ltd,India,sales@tripstide.com,https://tripstide.com,B
45,Atlas Voyages (Morocco),Morocco,contact@atlasvoyages.com,https://www.atlasvoyages.com,C
46,Lef El Donia Travel,Egypt,info@lefeldonia.com,https://www.lefeldonia.com,C
47,Mondial Voyages Maroc,Morocco,contact@mondialvoayage.com,http://www.mondialtravelagency.com,C
48,Muker Travel,Morocco,contact@mukertravel.com,https://www.mukertour.com,C
